,uuid,url,filename,folder,building
78,c73213d3-f03a-4d6e-a2df-3d35d5a3617e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(2).jpg,GEEN TEKENINGNUMMER(2),AA270919,TR
79,06f505db-95c2-4033-a35a-c5a35c1c6a35,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(3).jpg,GEEN TEKENINGNUMMER(3),AA270919,TR
80,55e76dd3-8bf1-4e58-af02-7631fb2d67ac,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(4).jpg,GEEN TEKENINGNUMMER(4),AA270919,TR
81,601d0395-ccb6-409f-bed4-0562b8772ea9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(5).jpg,GEEN TEKENINGNUMMER(5),AA270919,TR
82,b8d07c16-0bb1-47d3-9403-42e81c8d4374,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(6).jpg,GEEN TEKENINGNUMMER(6),AA270919,TR
83,8e160cf8-5e29-47f9-9d57-936765dce7f8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(7).jpg,GEEN TEKENINGNUMMER(7),AA270919,TR
84,fc61713e-7ca3-4ba2-ba15-bb093ca4ee0e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(8).jpg,GEEN TEKENINGNUMMER(8),AA270919,TR
85,b52823a0-5461-42fe-83a6-1a8a70adf7cb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(9).jpg,GEEN TEKENINGNUMMER(9),AA270919,TR
86,c016ca4c-97c8-4ede-9df4-d5e2e1690868,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(10).jpg,GEEN TEKENINGNUMMER(10),AA270919,TR
87,3ef081bd-8165-4a3e-879e-c220bc8ba81e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/GEEN%20TEKENINGNUMMER(11).jpg,GEEN TEKENINGNUMMER(11),AA270919,TR
88,d86402a3-e453-4cf8-9050-927dca71de17,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270919/Geen.jpg,Geen,AA270919,TR
89,4b7a3238-7950-4bbb-b708-f263ef342c95,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W5.jpg,W5,AA270927,00-11.8
90,5d39265f-0d74-4e08-9147-8f1193842617,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W10.jpg,W10,AA270927,00-11.8
91,734b3cfd-0902-44dc-bedd-968b6d2d5880,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W11.jpg,W11,AA270927,00-11.8
92,8cb44c60-4f3d-445d-bc11-d6df62ea3dd3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W12.jpg,W12,AA270927,00-11.8
93,bc517340-819e-499a-acf1-c330e93d13c5,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W13.jpg,W13,AA270927,00-11.8
94,4a3235ba-081c-42a7-8382-4ad5206ece1f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W14.jpg,W14,AA270927,00-11.8
95,3ca1244d-3f5a-4abd-a4e0-d2e814260135,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W15.jpg,W15,AA270927,00-11.8
96,9951857b-e7c4-4646-908a-21c84bbcbce3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W16.jpg,W16,AA270927,00-11.8
97,0238126d-0479-4fab-8ff4-93df1678658a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W23.jpg,W23,AA270927,00-11.8
98,58ebaedf-49bc-4720-9f48-24bba740f9ca,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270927/W24.jpg,W24,AA270927,00-11.8
99,af413c5e-cfc5-4487-96ad-c23a2b364a30,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270960/20.jpg,20,AA270960,TR
100,9aefc4d0-2ef9-441d-8601-23d15107dce7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270960/21.jpg,21,AA270960,TR
101,a5d46481-6c63-4a88-a0c4-985465feb254,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270960/22.jpg,22,AA270960,TR
102,d4c6ee33-462c-49a3-a562-06c601ec3643,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270960/23.jpg,23,AA270960,TR
103,6e8bd0d1-85dc-44b6-9105-935f1e856269,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270960/25.jpg,25,AA270960,TR
